"","GENERAL.APPEARANCE","MANNER.OF.SPEAKING","PHYSICAL.CONDITION","MENTAL.ALERTNESS","SELF.CONFIDENCE","ABILITY.TO.PRESENT.IDEAS","COMMUNICATION.SKILLS","CLASS_factor","CLASS_encoded.CLASS_factorEmployable","CLASS_encoded.CLASS_factorLessEmployable"
"1",4,5,4,5,5,5,5,"Employable",1,0
"2",4,4,4,4,4,4,3,"Employable",1,0
"3",4,3,3,3,3,3,2,"LessEmployable",0,1
"4",3,3,3,2,3,3,3,"LessEmployable",0,1
"5",4,4,3,3,4,4,3,"Employable",1,0
"6",4,4,3,3,3,3,3,"Employable",1,0
"7",4,4,4,3,3,3,3,"Employable",1,0
"8",5,3,3,4,3,3,3,"Employable",1,0
"9",4,4,4,4,4,4,4,"Employable",1,0
"10",4,4,3,4,3,4,4,"Employable",1,0
"11",5,5,5,5,5,5,4,"LessEmployable",0,1
"12",3,4,4,4,3,4,4,"Employable",1,0
"13",4,3,3,2,3,3,2,"LessEmployable",0,1
"14",3,3,3,3,3,2,2,"LessEmployable",0,1
"15",4,4,3,4,4,4,3,"LessEmployable",0,1
"16",3,3,3,3,3,3,3,"LessEmployable",0,1
"17",5,3,3,3,3,3,3,"LessEmployable",0,1
"18",4,4,4,4,4,4,4,"LessEmployable",0,1
"19",4,4,4,5,5,4,4,"LessEmployable",0,1
"20",4,3,3,4,5,4,3,"LessEmployable",0,1
"21",5,4,5,4,4,4,4,"Employable",1,0
"22",5,4,4,4,4,4,4,"Employable",1,0
"23",5,4,5,5,5,5,4,"Employable",1,0
"24",4,3,3,3,5,3,3,"LessEmployable",0,1
"25",5,5,5,5,5,4,4,"Employable",1,0
"26",5,5,4,4,5,5,4,"Employable",1,0
"27",4,4,4,4,3,3,3,"LessEmployable",0,1
"28",5,5,5,5,5,4,4,"Employable",1,0
"29",5,4,4,4,4,5,4,"Employable",1,0
"30",5,5,5,5,5,5,4,"Employable",1,0
"31",4,3,4,4,3,4,3,"LessEmployable",0,1
"32",4,3,4,4,3,3,3,"LessEmployable",0,1
